energy_scale,delta_m2_sm,delta_m2_diss
1.0,0.006332573977646111,6.332573977646111e-35
1.5556761439304718,0.01532564127220274,1.532564127220274e-34
2.420128264794382,0.03709001761895718,3.7090017618957176e-34
3.7649358067924674,0.08976259998135988,8.976259998135987e-34
5.857020818056665,0.2172370053363207,2.172370053363207e-33
9.111627561154892,0.5257414167737179,5.257414167737179e-33
14.174741629268048,1.2723616627071173,1.2723616627071173e-32
22.051307399030456,3.079278422958272,3.0792784229582715e-32
34.30469286314917,7.45224874657278,7.45224874657278e-32
53.36699231206307,18.035397827859285,1.8035397827859284e-31
83.02175681319744,43.64797605001349,4.364797605001349e-31
129.1549665014884,105.63370053970591,1.0563370053970591e-30
200.92330025650458,255.64710439096748,2.5564710439096748e-30
312.5715849688235,618.6987831494208,6.186987831494208e-30
486.26015800653533,1497.3304124938043,1.4973304124938042e-29
756.4633275546283,3623.7316530124817,3.6237316530124816e-29
1176.811952434998,8769.89539748558,8.769895397485578e-29
1830.7382802953678,21224.271730745026,2.1224271730745023e-28
2848.035868435799,51365.45991525234,5.136545991525233e-28
4430.621457583878,124311.00137506511,1.243110013750651e-27
6892.612104349695,300848.5680526885,3.008485680526885e-27
10722.672220103232,728092.1229672281,7.28092122967228e-27
16681.005372000593,1762076.3261671364,1.7620763261671362e-26
25950.24211399732,4264450.721682116,4.2644507216821163e-26
40370.1725859655,10320517.725365698,1.0320517725365697e-25
62802.914418342465,24976976.65446896,2.497697665446896e-25
97700.99572992246,60447487.17058979,6.044748717058978e-25
151991.10829529332,146290672.2373402,1.462906722373402e-24
236448.9412645407,354042190.757358,3.54042190757358e-24
367837.9771828627,856827512.7816037,8.568275127816037e-24
572236.7659350209,2073632481.7362297,2.0736324817362296e-23
890215.0854450375,5018456579.845572,5.0184565798455725e-23
1384886.3713938717,12145308614.527622,1.2145308614527622e-22
2154434.6900318824,29393204662.669014,2.939320466266901e-22
3351602.650938841,71135325397.01134,7.113532539701133e-22
5214008.287999685,172156611618.6529,1.721566116186529e-21
8111308.307896856,416641081749.5293,4.166410817495293e-21
12618568.830660185,1008324858216.5431,1.008324858216543e-20
19630406.500402685,2440275489464.645,2.4402754894646448e-20
30538555.088334125,5905779685938.336,5.905779685938335e-20
47508101.62102793,14292744343587.865,1.4292744343587865e-19
73907220.33525775,34590274567397.035,3.459027456739703e-19
114975699.53977357,83712901167555.89,8.371290116755589e-19
178864952.9057435,202595958243540.72,2.0259595824354072e-18
278255940.2207126,490308204878295.6,4.903082048782956e-18
432876128.1083044,1186608745086548.8,1.1866087450865487e-17
673415065.7750801,2871745363236150.0,2.87174536323615e-17
1047615752.7896619,6949992122860020.0,6.94999212286002e-17
1629750834.62064,1.6819872376631852e+16,1.681987237663185e-16
2535364493.970106,4.070624854892103e+16,4.070624854892103e-16
3944206059.437648,9.851434266698914e+16,9.851434266698914e-16
6135907273.413163,2.384173451760197e+17,2.384173451760197e-15
9545484566.618328,5.770005558777243e+17,5.770005558777243e-15
14849682622.544636,1.3964153540817516e+18,1.3964153540817515e-14
23101297000.83158,3.3795042678061036e+18,3.379504267806103e-14
35938136638.04626,8.178833799510798e+18,8.178833799510798e-14
55908101825.12222,1.9793826851251716e+19,1.9793826851251715e-13
86974900261.77835,4.7903599831160316e+19,4.790359983116032e-13
135304777457.98021,1.1593285593678958e+20,1.1593285593678958e-12
210490414451.20132,2.8057238147095976e+20,2.8057238147095974e-12
327454916287.77185,6.790211507185417e+20,6.790211507185417e-12
509413801481.6365,1.6433182792471497e+21,1.6433182792471497e-11
792482898353.9153,3.9770410156592957e+21,3.9770410156592954e-11
1232846739442.0635,9.624949372243627e+21,9.624949372243626e-11
1917910261672.4849,2.329361202298175e+22,2.329361202298175e-10
2983647240283.334,5.637352884597241e+22,5.63735288459724e-10
4641588833612.772,1.3643117054633935e+23,1.3643117054633935e-09
7220809018385.456,3.3018093203817885e+23,3.301809320381788e-09
11233240329780.266,7.9908020612175e+23,7.9908020612175e-09
17475284000076.83,1.933876592672969e+24,1.9338765926729688e-08
27185882427329.402,4.6802294025521074e+24,4.680229402552107e-08
42292428743894.82,1.1326755462837996e+25,1.1326755462837994e-07
65793322465756.555,2.7412201044028415e+25,2.7412201044028413e-07
102353102189902.27,6.6341042546879275e+25,6.634104254687927e-07
159228279334108.75,1.6055383218362932e+26,1.6055383218362931e-06
247707635599170.38,3.885608672886554e+26,3.885608672886554e-06
385352859371051.94,9.403671375182941e+26,9.40367137518294e-06
599484250318939.6,2.2758090887918108e+27,2.2758090887918107e-05
932603346883218.0,5.507749901061012e+27,5.507749901061012e-05
1450828778495937.2,1.3329461210976224e+28,0.00013329461210976224
2257019719633917.0,3.225900583116393e+28,0.0003225900583116393
3511191734215127.5,7.807093180616666e+28,0.0007807093180616666
5462277217684337.0,1.8894166872293874e+29,0.0018894166872293874
8497534359086438.0,4.57263072873801e+29,0.0045726307287380094
1.3219411484660288e+16,1.1066352871086199e+30,0.011066352871086198
2.056512308348643e+16,2.6781993371503964e+30,0.026781993371503963
3.1992671377973844e+16,6.481585914591309e+30,0.06481585914591309
4.9770235643320936e+16,1.5686269272595455e+31,0.15686269272595454
7.742636826811278e+16,3.796278363578421e+31,0.3796278363578421
1.2045035402587787e+17,9.187480568723428e+31,0.9187480568723427
1.8738174228603715e+17,2.2234881406616563e+32,2.2234881406616562
2.91505306282517e+17,5.3811264956504285e+32,5.381126495650428
4.534878508128554e+17,1.3023016328557444e+33,13.023016328557443
7.05480231071863e+17,3.151736990962091e+33,31.517369909620907
1.09749876549305e+18,7.627607775025293e+33,76.27607775025292
1.7073526474706888e+18,1.8459789169104266e+34,184.59789169104266
2.656087782946673e+18,4.467505753029409e+34,446.7505753029409
4.1320124001153347e+18,1.0811936946038078e+35,1081.1936946038077
6.428073117284293e+18,2.61662742002812e+35,2616.62742002812
1e+19,6.332573977646111e+35,6332.5739776461105
