Omega_m,Omega_k,H0,eta,gamma,lambda_param
0.3179802849180674,0.0009152480635954593,67.07503221319537,0.14470126602144462,0.022393144990667274,0.08156310293120474
0.31417041419297287,0.0009093171783232292,67.23169022551747,0.14724891421397288,0.022133294370142668,0.07918383145947312
0.31888613122860415,0.000640871365473997,67.10909995436104,0.14947878220751437,0.017253920616778037,0.07253267400373953
0.32413817913844817,0.0009339819616597125,67.40637557971736,0.16977781361786212,0.023318336887054956,0.07896210008728319
0.31359507975166,0.001146565816364349,67.86281498321401,0.13081400190480488,0.015039669297693528,0.08636262438239416
0.3135951782583049,0.0007451535761846409,67.03616229400069,0.12853401919520882,0.018383262696958686,0.0771075680653174
0.32447527689304434,0.0012096965302101186,67.78034460906274,0.17644225406928843,0.01300364874840877,0.08529651445345411
0.31960460837491744,0.0010975549642168677,67.03169772961431,0.13735917093673014,0.027234506067851258,0.0664499683236543
0.3121831536843903,0.0008531533356057924,67.00399657075131,0.11895018686772747,0.02007380202421882,0.06994159523281443
0.3182553602615158,0.0009716940725324305,67.70380973970416,0.13684201133170298,0.029667536139265246,0.06798519245089037
0.31221949384312525,0.0013196643615282066,67.7472132787632,0.14040878708938798,0.02421179970607798,0.0705230294231139
0.31220562147857844,0.001146709562701173,67.71759217344031,0.1837641427376926,0.0227923928534041,0.09830771570059137
0.3164517736293962,0.0010017567309796296,66.80736508854838,0.16927100288466496,0.018655089222876006,0.0898905818966554
0.3035203185320532,0.0009524633366078031,67.16430058920974,0.17439297418254157,0.016814599857250322,0.06284615321973482
0.3046504930049218,0.0010153218140903318,67.70565520864139,0.16685939377397607,0.023091886295587782,0.08556247444612683
0.3116262748245542,0.0008976472884115393,67.37744757303683,0.16976360444715222,0.02071394396290807,0.07314126531027144
0.3089230132779935,0.0005790500988561971,66.90904900459707,0.13217411108865268,0.015642918738058797,0.06876423121792652
0.31688548399557165,0.0014084355821069462,67.55249353443268,0.14343215042686985,0.014932566333966727,0.0567139080141624
0.30955185554687276,0.0010310649998398803,67.05978095122359,0.12523194780045838,0.017165185083425665,0.09357878040730366
0.30652617779198826,0.0010796294530245074,68.11370043632473,0.14315877529764823,0.028283868901064924,0.058542052754992926
0.3237938926135293,0.0009884184500246183,68.00883341421567,0.16373441479149903,0.02985311167204522,0.07822055232985188
0.3136453421970808,0.0008529766398550824,67.61372091906934,0.15109541555068168,0.02181995658923564,0.06480533131412697
0.31540516922812756,0.0009628151038102459,67.9316228160033,0.17816405883608677,0.021595771184965154,0.09063765920604887
0.30645151088271927,0.0006801210475611378,67.38721236705182,0.12174743677877395,0.019654718512681916,0.07398472260529074
0.3117337036528489,0.001455417299610661,67.6814837476375,0.1595054820660595,0.01726205860676199,0.07698306016719483
0.3156655355382592,0.0007530976003155208,67.98064252402688,0.11928903555700568,0.02650071623042898,0.07748898605604951
0.3080940385354662,0.0007936067432305641,67.46310944635361,0.15016605879099376,0.028494305575588547,0.08353855502403676
0.31725418811007405,0.0009119481591227199,67.252821387964,0.165027668718799,0.01742632365664286,0.07919507145974965
0.3113961678604872,0.0012576151449704754,66.6440587775656,0.14306644096304294,0.020668646486301595,0.07835090216558326
0.31324983750124036,0.0010029017998525308,67.32508391919697,0.160675911894,0.01920053479715933,0.07122397037117834
0.31138976032662363,0.0007527728407939074,67.70583773751618,0.12592615629884252,0.019319043700540092,0.055379059399868605
0.32611366910705364,0.0012508676721514679,67.75716603957841,0.10973513050148317,0.02574363302171945,0.06222173560687217
0.3149190166515724,0.0011462001253570962,67.57183332760174,0.16081168131721946,0.015752153818535515,0.08977719608020968
0.3086537344262646,0.0011076869914432904,67.13265438011585,0.18811223538374183,0.022865878763745226,0.07441270805010554
